docId,filename,0 â fo faid,1 day water put,2 â tom ll,3 men â king,4 king george man,5 â œ man,6 god â thy,7 â 1 ft,8 â love iâ,9 oâ ye â
0,104184105.txt,1.1394315200650508E-4,5.944493348621945E-5,0.027334309917628218,0.1451095550167665,8.94151513171459E-5,1.3991626302671978E-4,0.07987916949722924,0.008988595872988609,0.701155771307187,0.03712987888836397
1,104184106.txt,1.9305488306022438E-4,1.0071807283380867E-4,0.06940141440885099,1.311570929863229E-4,0.09250610916992746,0.19319223346705114,0.00670319694550936,3.8675137561466617E-4,0.5085083045099388,0.12887706007422717
2,104184107.txt,7.319213540110088E-5,0.26514448339845664,5.135459066654473E-5,0.21826222081382865,6.826871164763587E-4,0.438390619733283,0.04693415657923297,0.003272881042351128,0.02584680728069726,0.0013415973096063327
3,104184108.txt,7.689415078931719E-5,6.969917312805811E-4,0.028299599390803166,0.25886119460322127,0.06574789340778939,0.5072023226487511,0.010552403142387536,1.5404385593920873E-4,0.1210873228818228,0.007321334187215619
4,104184109.txt,6.896625768551689E-5,3.598017545341355E-5,4.8389542316726744E-5,4.6854105572436036E-5,5.4120219233321835E-5,0.021294113835837937,3.802387269331354E-5,0.004851367690438714,1.993154432774511E-4,0.9733628688574912
5,104184110.txt,1.6272897023943115E-4,8.489683356847727E-5,1.141772898199747E-4,0.06683667633905546,1.276990783685831E-4,1.9982270984383193E-4,8.971902863155568E-5,3.259987631228421E-4,0.9318557463552306,2.0253463211917984E-4
6,104184111.txt,0.0010663366383560303,0.4392461568672025,4.137006019054515E-5,0.20403344657586783,0.006090518003299367,0.26198984012684257,3.2508054978157E-5,0.045449983981668614,0.03895433067392761,0.003095509017666826
7,104184112.txt,4.8505210796467044E-5,0.08745533463507908,3.403323638525191E-5,0.46494524093648276,3.806372464392202E-5,0.41441988950507846,0.019087317945262288,9.717162654808834E-5,0.0129853522965322,8.890908831913851E-4
8,104184113.txt,4.130051383548345E-5,0.038478221084577185,0.04236660123115807,0.06177042565611467,0.03778345721657848,0.679922379232818,2.2770634988052232E-5,0.0053749411761710875,0.009645325455199654,0.12459457779855937
9,104184114.txt,0.0012750622942366548,0.012684653241408165,4.9467871553760625E-5,0.013298049074282172,5.5326252849676206E-5,0.06633732844876598,3.8871209776232824E-5,0.01700506892691178,0.25135434373076576,0.6379018289494499
10,104184115.txt,0.003440369502061514,0.20973315676041468,1.334740721255044E-4,0.36739485167582236,0.013149833806880179,0.26674492385269893,1.048821890717489E-4,0.1141359307307117,0.005424983969934295,0.019737593440279148
11,104184116.txt,0.37971438079342806,6.248603540727006E-5,8.403712923689248E-5,8.137056762177199E-5,9.398947872394906E-5,0.23649843415298816,6.603528263813691E-5,0.0074021050631873945,0.3758480913175656,1.4907017920273282E-4
12,104184117.txt,1.0875601901781239E-4,5.673877019279566E-5,7.630766350203664E-5,7.388636367561738E-5,0.0010144031543258079,0.11812397960370957,0.00377619567518807,0.0234443366473415,0.01053395335236108,0.8427914427506857
13,104184118.txt,1.1198116784041588E-4,5.842135272510859E-5,7.857055960031059E-5,7.60774563706878E-5,8.787551415595262E-5,0.24407297132880448,6.17397233503469E-5,2.2433450021415544E-4,0.7397829005304621,0.015445127866476505
14,104184119.txt,0.3385115758536448,0.0014041531436287807,2.2787522329991976E-5,2.2064457026588186E-5,0.4691797119070293,3.988064938119791E-5,1.790613852886439E-5,0.1906676371379872,9.386129516722404E-5,4.042189527610513E-5
